url,title,slugTitle,error,- 1 pc,- 20 pcs box,- 5-piece bulk case,- 50-piece bulk case,- Single unit,Adjustable,Adjustment Modes,Also Known As,Application,Applications,Available Configurations,Available Lengths,Binder Type,Branding,Break Strength (BS),Breaking Strength,Bulk Box Dimensions,Bulk Box Weight,Bulk Case Dimensions,Bulk Case Weight,Bundle Size,Bundle size,Capacity,Chain Compatibility,Chain Diameter,Chain Size Compatibility,Cold-Weather Rating,Collapsed Length,Color,Compatible Chain Grades,Compliance,Corner Protector Compatibility,Corrosion Resistance,Depth,Design Style,Diameter,Dimension,Dimensions,End Fitting,End Hardware,Ending Fitting,Ending fitting,Finish,Fixed End Length,Fixed End to Ratchet,Grade,Handle Material,Handle Style,Head Material,Height,Hook Material,Hook Style,Hook Type,Ideal For,Length,Load limit,Locking Mechanism,Material,Natural Length,Operation,Overall Length,PCP color,Primary Applications,Profile,Reusable,Security Feature,Shipping Dimensions,Side Drop,Single-Rack Capacity,Size,Standard,Stopper,Strap Compatibility,Strap Length,Strap Width,Style,Thickness,Tie-Down Capacity,Track Compatibility,Type,UV Resistance,Usage Note,Variants,Wall Thickness,Webbing Color,Webbing Material,Weight,Weight (lbs),Width,Working Load Limit,Working Load Limit (WLL),- 1 pc slug,- 20 pcs box slug,- 5-piece bulk case slug,- 50-piece bulk case slug,- Single unit slug,Adjustable slug,Adjustment Modes slug,Also Known As slug,Application slug,Applications slug,Available Configurations slug,Available Lengths slug,Binder Type slug,Branding slug,Break Strength (BS) slug,Breaking Strength slug,Bulk Box Dimensions slug,Bulk Box Weight slug,Bulk Case Dimensions slug,Bulk Case Weight slug,Bundle Size slug,Bundle size slug,Capacity slug,Chain Compatibility slug,Chain Diameter slug,Chain Size Compatibility slug,Cold-Weather Rating slug,Collapsed Length slug,Color slug,Compatible Chain Grades slug,Compliance slug,Corner Protector Compatibility slug,Corrosion Resistance slug,Depth slug,Design Style slug,Diameter slug,Dimension slug,Dimensions slug,End Fitting slug,End Hardware slug,Ending Fitting slug,Ending fitting slug,Finish slug,Fixed End Length slug,Fixed End to Ratchet slug,Grade slug,Handle Material slug,Handle Style slug,Head Material slug,Height slug,Hook Material slug,Hook Style slug,Hook Type slug,Ideal For slug,Length slug,Load limit slug,Locking Mechanism slug,Material slug,Natural Length slug,Operation slug,Overall Length slug,PCP color slug,Primary Applications slug,Profile slug,Reusable slug,Security Feature slug,Shipping Dimensions slug,Side Drop slug,Single-Rack Capacity slug,Size slug,Standard slug,Stopper slug,Strap Compatibility slug,Strap Length slug,Strap Width slug,Style slug,Thickness slug,Tie-Down Capacity slug,Track Compatibility slug,Type slug,UV Resistance slug,Usage Note slug,Variants slug,Wall Thickness slug,Webbing Color slug,Webbing Material slug,Weight slug,Weight (lbs) slug,Width slug,Working Load Limit slug,Working Load Limit (WLL) slug
https://fleet-hero.com/products/winch-strap-with-flat-hook,"Winch Strap with Flat Hook 4"" x 30'",winch-strap-with-flat-hook-4-x-30,,,,,,,,,,"Flatbed cargo securement, step deck tie-down, lumber, steel, machinery, equipment hauling",,,30 feet / 40 feet,,Fleet Hero logo,"16,200 lbs",,,,,,,,,,,,,,,,Designed to support FMCSA 49 CFR Part 393 cargo securement standards,,,,,,,,,,,,,,,,,,,,,,Flat hook,"Flatbed trailers, step decks, RGN trailers, owner-operators, fleet drivers, heavy haul operators",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,4 inches,,"5,400 lbs",,,,,,,,,application-winch-strap-with-flat-hook-4-x-30,,,available-lengths-winch-strap-with-flat-hook-4-x-30,,branding-winch-strap-with-flat-hook-4-x-30,break-strength-bs-winch-strap-with-flat-hook-4-x-30,,,,,,,,,,,,,,,,compliance-winch-strap-with-flat-hook-4-x-30,,,,,,,,,,,,,,,,,,,,,,hook-type-winch-strap-with-flat-hook-4-x-30,ideal-for-winch-strap-with-flat-hook-4-x-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webbing-color-winch-strap-with-flat-hook-4-x-30,,,,width-winch-strap-with-flat-hook-4-x-30,,working-load-limit-wll-winch-strap-with-flat-hook-4-x-30
https://fleet-hero.com/products/ratchet-load-binder-with-folding-handle,Ratchet Load Binder With Folding Handle,ratchet-load-binder-with-folding-handle,,,,,,,,"Extension, take-up, free spin",,,,,,,,,,,,,,,,,"5/16"" to 3/8""",,,,,,,,,,,,,,,,,,,,,,,,Patented folding handle,,,,,,,,,,,,,,,"Flatbed cargo securement, G70 chain tensioning, heavy equipment transport, commercial trucking",,,QuikBinder Lock (tamper resistance and accidental release prevention),,,,,,Yes — built-in for controlled chain engagement,,,,,,,,Ratchet load binder,,,,,,,,,,"7,100lb",,,,,,,,adjustment-modes-ratchet-load-binder-with-folding-handle,,,,,,,,,,,,,,,,,chain-compatibility-ratchet-load-binder-with-folding-handle,,,,,,,,,,,,,,,,,,,,,,,,handle-style-ratchet-load-binder-with-folding-handle,,,,,,,,,,,,,,,primary-applications-ratchet-load-binder-with-folding-handle,,,security-feature-ratchet-load-binder-with-folding-handle,,,,,,stopper-ratchet-load-binder-with-folding-handle,,,,,,,,type-ratchet-load-binder-with-folding-handle,,,,,,,,,,working-load-limit-ratchet-load-binder-with-folding-handle,
https://fleet-hero.com/products/ratchet-load-binder-for-chains,Ratchet Load Binder for chains,ratchet-load-binder-for-chains,,"5/16""-3/8"", 6,600 lb WLL, with stopper",,47.4 lb | 15.4 x 15.4 x 6.5 in,,,,,,,"Flatbed cargo securement, heavy equipment transport, construction material hauling, DOT-regulated load securement, chain rigging assemblies",,,Ratchet,,,,,,15.4 x 15.4 x 6.5 in,47.4 lb,,,,,,"5/16"" - 3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forged Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,600 lbs",1-pc-ratchet-load-binder-for-chains,,5-piece-bulk-case-ratchet-load-binder-for-chains,,,,,,,applications-ratchet-load-binder-for-chains,,,binder-type-ratchet-load-binder-for-chains,,,,,,bulk-case-dimensions-ratchet-load-binder-for-chains,bulk-case-weight-ratchet-load-binder-for-chains,,,,,,chain-size-compatibility-ratchet-load-binder-for-chains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,material-ratchet-load-binder-for-chains,,,,,,,,,,,,,,,,,,,,,,,,,variants-ratchet-load-binder-for-chains,,,,,,,,working-load-limit-wll-ratchet-load-binder-for-chains
https://fleet-hero.com/products/g70-transport-chain-3-8-x-20-wll-6600-lbs,"G70 Transport Chain 3/8"" x 20', WLL 6600 lbs",g70-transport-chain-3-8-x-20-wll-6600-lbs,,,,,"1,446.4 lb | 23.6 x 23.6 x 44.1 in","3/8"" x 20 ft, WLL 6,600 lbs, BS 26,400 lbs",,,,,"Flatbed cargo securement, heavy equipment transport, steel and lumber hauling, DOT-regulated load securement, chain tie-down assemblies",,,,,"26,400 lbs",,,,23.6 x 23.6 x 44.1 in,"1,446.4 lb",,,,,"3/8""",,,,,,,,,,,,,,,,,,Gold Chromate,,,G70 (Grade 70 Transport Chain),,,,,,,,,20 ft,,,,,,,,,,,,,,,,NACM Grade 70,,,,,,,,,,,,,,,,,,,,"6,600 lbs",,,,50-piece-bulk-case-g70-transport-chain-3-8-x-20-wll-6600-lbs,single-unit-g70-transport-chain-3-8-x-20-wll-6600-lbs,,,,,applications-g70-transport-chain-3-8-x-20-wll-6600-lbs,,,,,break-strength-bs-g70-transport-chain-3-8-x-20-wll-6600-lbs,,,,bulk-case-dimensions-g70-transport-chain-3-8-x-20-wll-6600-lbs,bulk-case-weight-g70-transport-chain-3-8-x-20-wll-6600-lbs,,,,,chain-diameter-g70-transport-chain-3-8-x-20-wll-6600-lbs,,,,,,,,,,,,,,,,,,finish-g70-transport-chain-3-8-x-20-wll-6600-lbs,,,grade-g70-transport-chain-3-8-x-20-wll-6600-lbs,,,,,,,,,length-g70-transport-chain-3-8-x-20-wll-6600-lbs,,,,,,,,,,,,,,,,standard-g70-transport-chain-3-8-x-20-wll-6600-lbs,,,,,,,,,,,,variants-g70-transport-chain-3-8-x-20-wll-6600-lbs,,,,,,,,working-load-limit-wll-g70-transport-chain-3-8-x-20-wll-6600-lbs
https://fleet-hero.com/products/corner-protector-plastic-4,Corner protector plastic 4'',corner-protector-plastic-4,,,,,,,,,,,,,,,,,,,,,,,"4"" Red",,,,,,,,,,,,,,,"4"" x 5-1/4""",,,,,,,,,,,,,,,,,,,,,Plastic,,,,Red,,,,,,,,4,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,bundle-size-corner-protector-plastic-4,,,,,,,,,,,,,,,dimension-corner-protector-plastic-4,,,,,,,,,,,,,,,,,,,,,material-corner-protector-plastic-4,,,,pcp-color-corner-protector-plastic-4,,,,,,,,size-corner-protector-plastic-4,,,,,,,,,,,,,,,,,weight-corner-protector-plastic-4,,,,
https://fleet-hero.com/products/rubber-tarp-strap,Rubber Tarp Strap,rubber-tarp-strap,,,,,,,No — non-adjustable bungee style,,,,,,,,,,,,,,,50-Pack,,,,,,Retains elasticity in freezing temperatures; recommended for Canada and northern USA,,Black,,,,,,,,,,,,,,,,,,,,,,Galvanized steel,"S-hook, crimped on one end",,,,,,Natural rubber (Sri Lanka),"9 inches, 21 inches and 31 inches",,,,"Flatbed tarp securement, commercial tarping, cargo cover attachment, cold-weather trucking operations",,,,,,,,,,,,,,,,,,Moderate — natural rubber is less UV resistant than synthetic; consider synthetic for high-UV regions,,,,,,11.40 lbs (per box of 50),,,,,,,,,,adjustable-rubber-tarp-strap,,,,,,,,,,,,,,,bundle-size-rubber-tarp-strap,,,,,,cold-weather-rating-rubber-tarp-strap,,color-rubber-tarp-strap,,,,,,,,,,,,,,,,,,,,,,hook-material-rubber-tarp-strap,hook-style-rubber-tarp-strap,,,,,,material-rubber-tarp-strap,natural-length-rubber-tarp-strap,,,,primary-applications-rubber-tarp-strap,,,,,,,,,,,,,,,,,,uv-resistance-rubber-tarp-strap,,,,,,weight-rubber-tarp-strap,,,,
https://fleet-hero.com/products/winch-bar,Winch Bar,winch-bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,,,40 Inc,,,,,,Combination Bars with Square Head,,,,,,,,,,,,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color-winch-bar,,,,,,,diameter-winch-bar,,,,,,,,,,,,,,,,,,,,,,material-winch-bar,,,,,,,,,,,,size-winch-bar,,,,,,style-winch-bar,,,,,,,,,,,,weight-lbs-winch-bar,,,
https://fleet-hero.com/products/strap-wider-a,Strap Winder Side Rail Type,strap-winder-side-rail-type,,,,,,,,,,,,,,,,,,,,,,1-Pack,,,,,,,,Zinc Plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,bundle-size-strap-winder-side-rail-type,,,,,,,,color-strap-winder-side-rail-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight-lbs-strap-winder-side-rail-type,,,
https://fleet-hero.com/products/ratchet-strap-with-flat-hook,Ratchet Strap with Flat Hook,ratchet-strap-with-flat-hook,,,,,,,,,,,,,,,,,"10,000 lbs",,,,,,,,,,,,,,,"DOT regulated, WSTDA recommended standards",,,,,,,,,Flat Hook,,,,18 inches,,,,,,,,,,,27 feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyester,5.8 lbs,,2 inches,"3,335 lbs",,,,,,,,,,,,,,,,,breaking-strength-ratchet-strap-with-flat-hook,,,,,,,,,,,,,,,compliance-ratchet-strap-with-flat-hook,,,,,,,,,end-hardware-ratchet-strap-with-flat-hook,,,,fixed-end-length-ratchet-strap-with-flat-hook,,,,,,,,,,,length-ratchet-strap-with-flat-hook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webbing-material-ratchet-strap-with-flat-hook,weight-ratchet-strap-with-flat-hook,,width-ratchet-strap-with-flat-hook,working-load-limit-ratchet-strap-with-flat-hook,
https://fleet-hero.com/products/strap-wider-side-rail-type,Strap Winder Assembly,strap-winder-assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color-strap-winder-assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight-lbs-strap-winder-assembly,,,
